timestamp,client_ip,client_tcp_src,backend_ip,backend_port_no,policy,pred_latency,tx_rate_bps,rx_rate_bps,drop_delta,active_flows_assigned,backend_index,total_tx_rate_bps,total_rx_rate_bps,total_active_flows,tx_share,rx_share,active_flow_share,tx_imbalance_bps,rx_imbalance_bps,flow_imbalance
1777932577.25627,10.0.0.1,51346,10.0.0.4,4,ml_pred,4.316460253085754,12.427628108943756,2.555568232766123,0.0,1,4,40.08226922334601,6.054215834421795,1,0.3100530072210895,0.42211382987639906,1.0,-0.9331282988382483,0.5374962879588581,0.6666666666666667
1777932579.0543694,10.0.0.1,51358,10.0.0.4,4,ml_pred,4.372190637423711,1129.4013540250503,3469.783767957392,0.0,2,4,1268.2107188626567,3598.387225535863,2,0.8905470811963394,0.9642608064341047,1.0,706.664447737498,2270.3213594454373,1.3333333333333335
1777932580.1890938,10.0.0.1,51364,10.0.0.4,4,ml_pred,4.409904763970724,2262.789678433084,7573.713738398334,0.0,3,4,2353.0157655775283,7657.30598582434,3,0.9616551285102423,0.9890833345851978,1.0,1478.4510899072416,5021.27840979022,2.0
1777932585.7434027,10.0.0.1,41696,10.0.0.4,4,ml_pred,4.495210329461411,562.5388064866022,1335.0690512126332,0.0,4,4,1378.6939921543176,1394.612696020745,4,0.4080229620842774,0.9573045297966898,1.0,102.974142435163,870.1981525390515,2.666666666666667
1777932601.0698085,10.0.0.1,45954,10.0.0.4,4,ml_pred,4.579592474543065,4.117562740706883,15.33587219710642,0.0,5,4,5.392453854491157,15.42888350792237,5,0.7635786697140731,0.9939716110522067,1.0,2.3200781225431637,10.192911027798964,3.333333333333333
1777932601.2925992,10.0.0.1,45962,10.0.0.4,4,ml_pred,4.643510422439614,4.117562740706883,15.33587219710642,0.0,6,4,5.392453854491157,15.42888350792237,6,0.7635786697140731,0.9939716110522067,1.0,2.3200781225431637,10.192911027798964,4.0
1777932601.5105133,10.0.0.1,45978,10.0.0.3,3,ml_pred,4.632862929956941,0.542884878242433,0.08322619835533394,0.0,1,3,5.392453854491157,15.42888350792237,7,0.10067492330792709,0.005394181524061624,0.14285714285714285,-1.2545997399212858,-5.059734970952123,-1.3333333333333335
1777932601.5137582,10.0.0.1,45978,10.0.0.4,4,ml_pred,4.626894693595414,2702.5842335707284,10871.088171927186,0.0,7,4,2703.412912794688,10871.148629279216,7,0.9996934692365944,0.9999944387337445,1.0,1801.446595972499,7247.371962167446,4.666666666666666
1777932601.7356124,10.0.0.1,45984,10.0.0.4,4,ml_pred,4.690812641491962,2702.5842335707284,10871.088171927186,0.0,8,4,2703.412912794688,10871.148629279216,8,0.9996934692365944,0.9999944387337445,1.0,1801.446595972499,7247.371962167446,5.333333333333334
1777932601.8535914,10.0.0.1,45998,10.0.0.3,3,ml_pred,4.669942741193404,0.35287517085758147,0.054097028930967066,0.0,1,3,2703.412912794688,10871.148629279216,9,0.00013052951296766286,4.976201758962965e-06,0.1111111111111111,-900.7847624273718,-3623.662112730808,-2.0
1777932601.9710014,10.0.0.1,46014,10.0.0.4,4,ml_pred,4.722499050425535,2702.5842335707284,10871.088171927186,0.0,9,4,2703.412912794688,10871.148629279216,10,0.9996934692365944,0.9999944387337445,0.9,1801.446595972499,7247.371962167446,5.666666666666666
1777932602.0853007,10.0.0.1,46018,10.0.0.3,3,ml_pred,4.700052156278997,0.35287517085758147,0.054097028930967066,0.0,2,3,2703.412912794688,10871.148629279216,11,0.00013052951296766286,4.976201758962965e-06,0.18181818181818182,-900.7847624273718,-3623.662112730808,-1.6666666666666665
1777932602.207197,10.0.0.1,46034,10.0.0.4,4,ml_pred,4.75388364235471,2702.5842335707284,10871.088171927186,0.0,10,4,2703.412912794688,10871.148629279216,12,0.9996934692365944,0.9999944387337445,0.8333333333333334,1801.446595972499,7247.371962167446,6.0
1777932602.3199902,10.0.0.1,46046,10.0.0.3,3,ml_pred,4.730410570393218,0.35287517085758147,0.054097028930967066,0.0,3,3,2703.412912794688,10871.148629279216,13,0.00013052951296766286,4.976201758962965e-06,0.23076923076923078,-900.7847624273718,-3623.662112730808,-1.333333333333333
1777932602.4342518,10.0.0.1,46050,10.0.0.4,4,ml_pred,4.785105717435362,2702.5842335707284,10871.088171927186,0.0,11,4,2703.412912794688,10871.148629279216,14,0.9996934692365944,0.9999944387337445,0.7857142857142857,1801.446595972499,7247.371962167446,6.333333333333333
1777932602.5523899,10.0.0.1,46054,10.0.0.3,3,ml_pred,4.787741825295205,5733.24869361526,21846.060836126853,0.0,4,3,13406.58033518628,51238.827191185606,15,0.4276443768861807,0.42635755019554655,0.26666666666666666,1264.3885818865,4766.451772398319,-1.0
1777932602.684611,10.0.0.1,46068,10.0.0.3,3,ml_pred,4.851268489003909,5733.24869361526,21846.060836126853,0.0,5,3,13406.58033518628,51238.827191185606,16,0.4276443768861807,0.42635755019554655,0.3125,1264.3885818865,4766.451772398319,-0.33333333333333304
1777932602.8063176,10.0.0.1,46084,10.0.0.4,4,ml_pred,4.84610696859759,7673.022368936503,29392.762220848737,0.0,12,4,13406.58033518628,51238.827191185606,17,0.5723325543948183,0.5736423691193511,0.7058823529411765,3204.162257207743,12313.153157120203,6.333333333333333
1777932602.965527,10.0.0.1,46096,10.0.0.3,3,ml_pred,4.88191984315181,5733.24869361526,21846.060836126853,0.0,6,3,13406.58033518628,51238.827191185606,18,0.4276443768861807,0.42635755019554655,0.3333333333333333,1264.3885818865,4766.451772398319,0.0
1777932603.1065943,10.0.0.1,46108,10.0.0.4,4,ml_pred,4.87711900516196,7673.022368936503,29392.762220848737,0.0,13,4,13406.58033518628,51238.827191185606,19,0.5723325543948183,0.5736423691193511,0.6842105263157895,3204.162257207743,12313.153157120203,6.666666666666667
1777932603.222321,10.0.0.1,46116,10.0.0.3,3,ml_pred,4.9126143674099385,5733.24869361526,21846.060836126853,0.0,7,3,13406.58033518628,51238.827191185606,20,0.4276443768861807,0.42635755019554655,0.35,1264.3885818865,4766.451772398319,0.33333333333333304
1777932603.3405495,10.0.0.1,46118,10.0.0.4,4,ml_pred,4.908099916847752,7673.022368936503,29392.762220848737,0.0,14,4,13406.58033518628,51238.827191185606,21,0.5723325543948183,0.5736423691193511,0.6666666666666666,3204.162257207743,12313.153157120203,7.0
1777932603.4591916,10.0.0.1,46132,10.0.0.3,3,ml_pred,4.943339727461085,5733.24869361526,21846.060836126853,0.0,8,3,13406.58033518628,51238.827191185606,22,0.4276443768861807,0.42635755019554655,0.36363636363636365,1264.3885818865,4766.451772398319,0.666666666666667
1777932603.5866861,10.0.0.1,46142,10.0.0.3,3,ml_pred,4.8990250011014735,10649.141640023143,42690.8519656702,0.0,9,3,20198.813064480106,78780.20493083865,23,0.5272162084983997,0.5418982091141882,0.391304347826087,3916.2039518631072,16430.78365539065,1.333333333333333
1777932603.7067323,10.0.0.1,46150,10.0.0.3,3,ml_pred,4.962736269962402,10649.141640023143,42690.8519656702,0.0,10,3,20198.813064480106,78780.20493083865,24,0.5272162084983997,0.5418982091141882,0.4166666666666667,3916.2039518631072,16430.78365539065,2.0
1777932603.8240905,10.0.0.1,46162,10.0.0.3,3,ml_pred,5.026464762076299,10649.141640023143,42690.8519656702,0.0,11,3,20198.813064480106,78780.20493083865,25,0.5272162084983997,0.5418982091141882,0.44,3916.2039518631072,16430.78365539065,2.666666666666666
1777932603.9425757,10.0.0.1,46164,10.0.0.4,4,ml_pred,4.998549991708423,9549.470397244528,36089.35027793194,0.0,15,4,20198.813064480106,78780.20493083865,26,0.4727738390746041,0.4581017567752569,0.5769230769230769,2816.532709084492,9829.28196765239,6.333333333333334
1777932604.0612698,10.0.0.1,46170,10.0.0.3,3,ml_pred,5.057273289819195,10649.141640023143,42690.8519656702,0.0,12,3,20198.813064480106,78780.20493083865,27,0.5272162084983997,0.5418982091141882,0.4444444444444444,3916.2039518631072,16430.78365539065,3.0
1777932650.1827972,10.0.0.1,48482,10.0.0.2,2,ml_pred,4.60065839276734,0.0018226469559315035,1.1495936226651419e-06,0.0,1,2,0.003927729725626453,0.0015173994914643289,24,0.4640459204816596,0.0007576077553286609,0.041666666666666664,0.0005134037140560193,-0.0005046502368654445,-7.0
1777932657.0576463,10.0.0.1,60730,10.0.0.4,4,ml_pred,4.585285238241385,152.92620874463313,6.076002481499757e-05,0.0,12,4,500.3253013723767,285.50878529305385,25,0.30565355844519815,2.1281315302655873e-07,0.48,-13.848891712825775,-95.16953433765981,3.666666666666666
1777932657.0692592,10.0.0.1,60736,10.0.0.2,2,ml_pred,4.639456110118521,194.47280740572296,285.5087109630284,0.0,2,2,500.3253013723767,285.50878529305385,26,0.3886927302542768,0.9999997396576594,0.07692307692307693,27.697706948264056,190.33911586534379,-6.666666666666666
1777932657.0854118,10.0.0.1,60738,10.0.0.4,4,ml_pred,4.616117708198571,152.92620874463313,6.076002481499757e-05,0.0,13,4,500.3253013723767,285.50878529305385,27,0.30565355844519815,2.1281315302655873e-07,0.48148148148148145,-13.848891712825775,-95.16953433765981,4.0
1777932657.1019828,10.0.0.1,60754,10.0.0.2,2,ml_pred,4.670057989949624,194.47280740572296,285.5087109630284,0.0,3,2,500.3253013723767,285.50878529305385,28,0.3886927302542768,0.9999997396576594,0.10714285714285714,27.697706948264056,190.33911586534379,-6.333333333333334
1777932657.1115253,10.0.0.1,60756,10.0.0.4,4,ml_pred,4.646953598472086,152.92620874463313,6.076002481499757e-05,0.0,14,4,500.3253013723767,285.50878529305385,29,0.30565355844519815,2.1281315302655873e-07,0.4827586206896552,-13.848891712825775,-95.16953433765981,4.333333333333334
1777932657.119614,10.0.0.1,60758,10.0.0.2,2,ml_pred,4.700694977689744,194.47280740572296,285.5087109630284,0.0,4,2,500.3253013723767,285.50878529305385,30,0.3886927302542768,0.9999997396576594,0.13333333333333333,27.697706948264056,190.33911586534379,-6.0
1777932657.1322296,10.0.0.1,60770,10.0.0.4,4,ml_pred,4.677792224998661,152.92620874463313,6.076002481499757e-05,0.0,15,4,500.3253013723767,285.50878529305385,31,0.30565355844519815,2.1281315302655873e-07,0.4838709677419355,-13.848891712825775,-95.16953433765981,4.666666666666666
1777932657.1459408,10.0.0.1,60784,10.0.0.2,2,ml_pred,4.731360278259716,194.47280740572296,285.5087109630284,0.0,5,2,500.3253013723767,285.50878529305385,32,0.3886927302542768,0.9999997396576594,0.15625,27.697706948264056,190.33911586534379,-5.666666666666666
1777932657.1580036,10.0.0.1,60800,10.0.0.4,4,ml_pred,4.708633074730849,152.92620874463313,6.076002481499757e-05,0.0,16,4,500.3253013723767,285.50878529305385,33,0.30565355844519815,2.1281315302655873e-07,0.48484848484848486,-13.848891712825775,-95.16953433765981,5.0
1777932657.175912,10.0.0.1,60812,10.0.0.2,2,ml_pred,4.762048743872295,194.47280740572296,285.5087109630284,0.0,6,2,500.3253013723767,285.50878529305385,34,0.3886927302542768,0.9999997396576594,0.17647058823529413,27.697706948264056,190.33911586534379,-5.333333333333334
1777932657.1830275,10.0.0.1,60820,10.0.0.4,4,ml_pred,4.739475755338248,152.92620874463313,6.076002481499757e-05,0.0,17,4,500.3253013723767,285.50878529305385,35,0.30565355844519815,2.1281315302655873e-07,0.4857142857142857,-13.848891712825775,-95.16953433765981,5.333333333333334
1777932657.1974952,10.0.0.1,60824,10.0.0.2,2,ml_pred,4.79275640337732,194.47280740572296,285.5087109630284,0.0,7,2,500.3253013723767,285.50878529305385,36,0.3886927302542768,0.9999997396576594,0.19444444444444445,27.697706948264056,190.33911586534379,-5.0
1777932657.216084,10.0.0.1,60840,10.0.0.4,4,ml_pred,4.77031996167499,152.92620874463313,6.076002481499757e-05,0.0,18,4,500.3253013723767,285.50878529305385,37,0.30565355844519815,2.1281315302655873e-07,0.4864864864864865,-13.848891712825775,-95.16953433765981,5.666666666666666
1777932657.2260344,10.0.0.1,60842,10.0.0.3,3,ml_pred,4.776924213513348,152.92628522202062,1.3570000568569559e-05,0.0,13,3,500.3253013723767,285.50878529305385,38,0.30565371130052504,4.752918742812396e-08,0.34210526315789475,-13.84881523543828,-95.16958152768404,0.3333333333333339
1777932657.241088,10.0.0.1,60846,10.0.0.2,2,ml_pred,4.7904557989932,194.47280740572296,285.5087109630284,0.0,8,2,500.3253013723767,285.50878529305385,39,0.3886927302542768,0.9999997396576594,0.20512820512820512,27.697706948264056,190.33911586534379,-5.0
1777932657.2506275,10.0.0.1,60854,10.0.0.4,4,ml_pred,4.768194645502367,152.92620874463313,6.076002481499757e-05,0.0,19,4,500.3253013723767,285.50878529305385,40,0.30565355844519815,2.1281315302655873e-07,0.475,-13.848891712825775,-95.16953433765981,5.666666666666666
1777932657.2611897,10.0.0.1,60856,10.0.0.3,3,ml_pred,4.774714042682147,152.92628522202062,1.3570000568569559e-05,0.0,14,3,500.3253013723767,285.50878529305385,41,0.30565371130052504,4.752918742812396e-08,0.34146341463414637,-13.84881523543828,-95.16958152768404,0.3333333333333339
1777932657.2771432,10.0.0.1,60872,10.0.0.2,2,ml_pred,4.788169167413547,194.47280740572296,285.5087109630284,0.0,9,2,500.3253013723767,285.50878529305385,42,0.3886927302542768,0.9999997396576594,0.21428571428571427,27.697706948264056,190.33911586534379,-5.0
1777932657.2881725,10.0.0.1,60888,10.0.0.4,4,ml_pred,4.76605792827532,152.92620874463313,6.076002481499757e-05,0.0,20,4,500.3253013723767,285.50878529305385,43,0.30565355844519815,2.1281315302655873e-07,0.46511627906976744,-13.848891712825775,-95.16953433765981,5.666666666666666
1777932657.2989612,10.0.0.1,60890,10.0.0.3,3,ml_pred,4.772504576122241,152.92628522202062,1.3570000568569559e-05,0.0,15,3,500.3253013723767,285.50878529305385,44,0.30565371130052504,4.752918742812396e-08,0.3409090909090909,-13.84881523543828,-95.16958152768404,0.3333333333333339
1777932876.2707675,10.0.0.1,38746,10.0.0.4,4,ml_pred,4.316529464314552,19.33047559275732,4.109802929339462,0.0,1,4,58.932164045570204,10.432553448335142,1,0.3280123156144365,0.3939402706817971,1.0,-0.313579089099413,0.6322851132277476,0.6666666666666667
1777932878.9817533,10.0.0.1,38748,10.0.0.4,4,ml_pred,4.363095105125181,1200.655291831267,3690.1660486264573,0.0,2,4,1606.3575394220015,3692.837410720733,2,0.7474396343066226,0.9992766098809224,1.0,665.2027786905999,2459.2202450528794,1.3333333333333335
1777932879.7570145,10.0.0.1,38754,10.0.0.4,4,ml_pred,4.4047995423146915,2508.7113554936877,8030.193850307335,0.0,3,4,2967.86204761706,8227.37446685801,3,0.8452924412399724,0.9760335915977851,1.0,1519.4240062880012,5287.735694687999,2.0
1777932883.9140868,10.0.0.1,38760,10.0.0.4,4,ml_pred,4.494769825440043,901.3022556378794,2991.9839259044306,0.0,4,4,1193.079020552044,3109.654716320546,4,0.7554422130571384,0.9621595317967174,1.0,503.60924878719806,1955.432353797582,2.666666666666667
1777932896.4731953,10.0.0.1,54656,10.0.0.4,4,ml_pred,4.575463873204475,15.325690304536263,45.8784024951925,0.0,5,4,27.705928391238412,46.313455634719794,5,0.5531556311025039,0.9906063338706873,1.0,6.090380840790125,30.440583950285905,3.333333333333333
1777932896.6898723,10.0.0.1,54672,10.0.0.4,4,ml_pred,4.639381821101024,15.325690304536263,45.8784024951925,0.0,6,4,27.705928391238412,46.313455634719794,6,0.5531556311025039,0.9906063338706873,1.0,6.090380840790125,30.440583950285905,4.0
1777932896.9041007,10.0.0.1,54678,10.0.0.3,3,ml_pred,4.634637879975205,5.019583837633011,0.3054927510346371,0.0,1,3,27.705928391238412,46.313455634719794,7,0.18117363788539856,0.006596198596021378,0.14285714285714285,-4.215725626113127,-15.132325793871962,-1.3333333333333335
1777932897.1201239,10.0.0.1,54684,10.0.0.4,4,ml_pred,4.671305371966623,15.325690304536263,45.8784024951925,0.0,7,4,27.705928391238412,46.313455634719794,8,0.5531556311025039,0.9906063338706873,0.875,6.090380840790125,30.440583950285905,4.333333333333334
1777932897.2339716,10.0.0.1,54694,10.0.0.3,3,ml_pred,4.664560545789326,5.019583837633011,0.3054927510346371,0.0,2,3,27.705928391238412,46.313455634719794,9,0.18117363788539856,0.006596198596021378,0.2222222222222222,-4.215725626113127,-15.132325793871962,-1.0
